year,case,,,,,
,,,1.39975E-66,,,
,,,1.1198E-66,,,
,,,8.95838E-67,,,
,,,7.1667E-67,,,
,,,5.73336E-67,,,
,,,4.58669E-67,,,
,,,3.66935E-67,,,
,,,2.93548E-67,,,
,,,2.34839E-67,,,
,,,1.87871E-67,,,
,,,1.50297E-67,,,
,,,1.20237E-67,,,
,,,9.61899E-68,,,
,,,7.69519E-68,,,
,,,6.15615E-68,,,
,,,4.92492E-68,,,
,,,3.93994E-68,,,
,,,3.15195E-68,,,
,,,2.52156E-68,,,
,,,2.01725E-68,,,
,,,1.6138E-68,,,
,,,1.29104E-68,,,
,,,1.03283E-68,,,
,,,8.26265E-69,,,
,,,6.61012E-69,,,
,,,5.28809E-69,,,
,,,4.23047E-69,,,
,,,3.38438E-69,,,
,,,2.7075E-69,,,
,,,2.166E-69,,,
,,,1.7328E-69,,,
,,,1.38624E-69,,,
,,,1.10899E-69,,,
,,,8.87195E-70,,,
,,,7.09756E-70,,,
,,,5.67805E-70,,,
,,,4.54244E-70,,,
,,,3.63395E-70,,,
,,,2.90716E-70,,,
,,,2.32573E-70,,,
,,,1.86058E-70,,,
,,,1.48847E-70,,,
,,,1.19077E-70,,,
,,,9.52618E-71,,,
,,,7.62095E-71,,,
,,,6.09676E-71,,,
,,,4.8774E-71,,,
,,,3.90192E-71,,,
,,,3.12154E-71,,,
,,,2.49723E-71,,,
,,,1.99779E-71,,,
,,,1.59823E-71,,,
,,,1.27858E-71,,,
,,,1.02287E-71,,,
,,,8.18293E-72,,,
,,,6.54634E-72,,,
,,,5.23707E-72,,,
,,,4.18966E-72,,,
,,,3.35173E-72,,,
,,,2.68138E-72,,,
,,,2.14511E-72,,,
,,,1.71608E-72,,,
,,,1.37287E-72,,,
,,,1.09829E-72,,,
,,,8.78635E-73,,,
,,,7.02908E-73,,,
,,,5.62327E-73,,,
,,,4.49861E-73,,,
,,,3.59889E-73,,,
,,,2.87911E-73,,,
,,,2.30329E-73,,,
,,,1.84263E-73,,,
,,,1.47411E-73,,,
,,,1.17928E-73,,,
,,,9.43427E-74,,,
,,,7.54742E-74,,,
,,,6.03793E-74,,,
,,,4.83035E-74,,,
,,,3.86428E-74,,,
,,,3.09142E-74,,,
,,,2.47314E-74,,,
,,,1.97851E-74,,,
,,,1.58281E-74,,,
,,,1.26625E-74,,,
,,,1.013E-74,,,
,,,8.10398E-75,,,
,,,6.48318E-75,,,
,,,5.18655E-75,,,
,,,4.14924E-75,,,
,,,3.31939E-75,,,
,,,2.65551E-75,,,
,,,2.12441E-75,,,
,,,1.69953E-75,,,
,,,1.35962E-75,,,
,,,1.0877E-75,,,
,,,8.70158E-76,,,
,,,6.96126E-76,,,
,,,5.56901E-76,,,
,,,4.45521E-76,,,
,,,3.56417E-76,,,
,,,2.85133E-76,,,
,,,2.28107E-76,,,
,,,1.82485E-76,,,
,,,1.45988E-76,,,
,,,1.16791E-76,,,
,,,9.34325E-77,,,
,,,7.4746E-77,,,
,,,5.97968E-77,,,
,,,4.78374E-77,,,
,,,3.827E-77,,,
,,,3.0616E-77,,,
,,,2.44928E-77,,,
,,,1.95942E-77,,,
,,,1.56754E-77,,,
,,,1.25403E-77,,,
,,,1.00322E-77,,,
,,,8.02579E-78,,,
,,,6.42063E-78,,,
,,,5.13651E-78,,,
,,,4.10921E-78,,,
,,,3.28736E-78,,,
,,,2.62989E-78,,,
,,,2.10391E-78,,,
,,,1.68313E-78,,,
,,,1.3465E-78,,,
,,,1.0772E-78,,,
,,,8.61763E-79,,,
,,,6.8941E-79,,,
,,,5.51528E-79,,,
,,,4.41223E-79,,,
,,,3.52978E-79,,,
,,,2.82382E-79,,,
,,,2.25906E-79,,,
,,,1.80725E-79,,,
,,,1.4458E-79,,,
